,Date,Open,High,Low,Close,Adj Close,Volume,Diff
0,2017-06-29,2.7,2.7,2.65,2.7,2.7,53203,0.0
1,2017-06-30,2.68,2.95,2.68,2.95,2.95,21668,0.27
2,2017-07-03,3.02,3.08,3.0,3.0,3.0,61756,-0.020000000000000018
3,2017-07-04,3.0,3.02,2.99,3.0,3.0,64658,0.0
4,2017-07-05,3.0,3.2,2.99,3.18,3.18,443935,0.18000000000000016
5,2017-07-06,3.2,3.2,3.13,3.15,3.15,308738,-0.050000000000000266
6,2017-07-07,3.15,3.18,3.06,3.11,3.11,261677,-0.040000000000000036
7,2017-07-10,3.15,3.15,2.85,2.93,2.93,431289,-0.21999999999999975
8,2017-07-11,2.89,3.07,2.89,3.01,3.01,274609,0.11999999999999966
9,2017-07-12,3.0,3.05,3.0,3.03,3.03,153241,0.029999999999999805
10,2017-07-13,3.03,3.13,3.03,3.05,3.05,1064230,0.020000000000000018
11,2017-07-14,3.06,3.14,3.06,3.1,3.1,617484,0.040000000000000036
12,2017-07-17,3.1,3.1,3.06,3.09,3.09,283953,-0.010000000000000231
13,2017-07-18,3.08,3.1,3.07,3.1,3.1,182952,0.020000000000000018
14,2017-07-19,3.11,3.11,3.09,3.1,3.1,338625,-0.009999999999999787
15,2017-07-20,3.1,3.1,3.07,3.07,3.07,354679,-0.03000000000000025
16,2017-07-21,3.07,3.1,3.07,3.1,3.1,164878,0.03000000000000025
17,2017-07-24,3.1,3.1,3.02,3.02,3.02,254877,-0.08000000000000007
18,2017-07-25,3.04,3.1,3.02,3.06,3.06,151920,0.020000000000000018
19,2017-07-26,3.06,3.1,3.06,3.09,3.09,87030,0.029999999999999805
20,2017-07-27,3.09,3.1,3.05,3.09,3.09,115770,0.0
21,2017-07-28,3.09,3.1,3.05,3.08,3.08,218704,-0.009999999999999787
22,2017-07-31,3.08,3.1,3.05,3.1,3.1,172067,0.020000000000000018
23,2017-08-01,3.1,3.1,3.05,3.08,3.08,134267,-0.020000000000000018
24,2017-08-02,3.08,3.08,3.03,3.05,3.05,100719,-0.03000000000000025
25,2017-08-03,3.05,3.07,3.01,3.05,3.05,67434,0.0
26,2017-08-04,3.07,3.08,3.02,3.07,3.07,80827,0.0
27,2017-08-07,3.07,3.07,3.03,3.07,3.07,185869,0.0
28,2017-08-08,3.07,3.07,3.03,3.05,3.05,266708,-0.020000000000000018
29,2017-08-09,3.06,3.08,3.03,3.05,3.05,124166,-0.010000000000000231
30,2017-08-10,3.05,3.07,3.01,3.04,3.04,201082,-0.009999999999999787
31,2017-08-11,3.01,3.01,2.96,2.97,2.97,176465,-0.03999999999999959
32,2017-08-14,2.96,3.04,2.95,3.04,3.04,232646,0.08000000000000007
33,2017-08-15,3.04,3.05,2.95,3.0,3.0,93835,-0.040000000000000036
34,2017-08-16,3.0,3.01,2.94,3.01,3.01,104383,0.009999999999999787
35,2017-08-17,3.02,3.04,2.98,3.0,3.0,358010,-0.020000000000000018
36,2017-08-18,3.0,3.05,2.94,3.05,3.05,202072,0.04999999999999982
37,2017-08-21,3.06,3.1,3.06,3.09,3.09,1255210,0.029999999999999805
38,2017-08-22,3.09,3.13,3.07,3.09,3.09,1163605,0.0
39,2017-08-23,3.09,3.11,3.08,3.09,3.09,457114,0.0
40,2017-08-24,3.09,3.24,3.05,3.24,3.24,2201751,0.15000000000000036
41,2017-08-25,3.32,3.64,3.31,3.6,3.6,1787174,0.28000000000000025
42,2017-08-28,3.62,3.725,3.53,3.54,3.54,772445,-0.08000000000000007
43,2017-08-29,3.56,3.59,3.47,3.53,3.53,798835,-0.03000000000000025
44,2017-08-30,3.58,3.73,3.57,3.66,3.66,1929362,0.08000000000000007
45,2017-08-31,3.7,3.89,3.66,3.77,3.77,1433269,0.06999999999999984
46,2017-09-01,3.84,3.9,3.82,3.86,3.86,1212541,0.020000000000000018
47,2017-09-04,3.89,3.89,3.8,3.85,3.85,381518,-0.040000000000000036
48,2017-09-05,3.84,3.85,3.77,3.84,3.84,502613,0.0
49,2017-09-06,3.83,3.84,3.79,3.8,3.8,931283,-0.03000000000000025
50,2017-09-07,3.82,3.84,3.78,3.8,3.8,692996,-0.020000000000000018
51,2017-09-08,3.85,3.88,3.81,3.87,3.87,468070,0.020000000000000018
52,2017-09-11,3.88,3.88,3.85,3.87,3.87,301910,-0.009999999999999787
53,2017-09-12,3.87,4.0,3.87,4.0,4.0,525505,0.1299999999999999
54,2017-09-13,4.15,4.42,4.15,4.38,4.38,1908638,0.22999999999999954
55,2017-09-14,4.48,4.75,4.48,4.6,4.6,1595031,0.11999999999999922
56,2017-09-15,4.6,4.63,4.44,4.45,4.45,2700843,-0.14999999999999947
57,2017-09-18,4.45,4.48,4.26,4.28,4.28,535685,-0.16999999999999993
58,2017-09-19,4.25,4.46,4.23,4.34,4.34,651779,0.08999999999999986
59,2017-09-20,4.36,4.39,4.27,4.28,4.28,382973,-0.08000000000000007
60,2017-09-21,4.34,4.44,4.3,4.34,4.34,820437,0.0
61,2017-09-22,4.36,4.4,4.27,4.3,4.3,352502,-0.0600000000000005
62,2017-09-25,4.32,4.35,4.25,4.25,4.25,452671,-0.07000000000000028
63,2017-09-26,4.22,4.23,4.07,4.15,4.15,594756,-0.0699999999999994
64,2017-09-27,4.36,4.4,4.1,4.11,4.11,1097857,-0.25
65,2017-09-28,4.18,4.18,4.03,4.08,4.08,1669989,-0.09999999999999964
66,2017-09-29,4.14,4.21,4.09,4.18,4.18,303129,0.040000000000000036
67,2017-10-02,4.23,4.33,4.2,4.31,4.31,221777,0.07999999999999918
68,2017-10-03,4.33,4.38,4.17,4.2,4.2,469718,-0.1299999999999999
69,2017-10-04,4.2,4.25,4.15,4.22,4.22,321997,0.019999999999999574
70,2017-10-05,4.22,4.23,4.12,4.13,4.13,448199,-0.08999999999999986
71,2017-10-06,4.16,4.3,4.15,4.27,4.27,207375,0.10999999999999943
72,2017-10-09,4.3,4.47,4.27,4.34,4.34,294785,0.040000000000000036
73,2017-10-10,4.36,4.38,4.23,4.29,4.29,296042,-0.07000000000000028
74,2017-10-11,4.31,4.35,4.21,4.3,4.3,301782,-0.009999999999999787
75,2017-10-12,4.32,4.38,4.32,4.37,4.37,411282,0.04999999999999982
76,2017-10-13,4.37,4.37,4.29,4.32,4.32,332867,-0.04999999999999982
77,2017-10-16,4.33,4.37,4.3,4.33,4.33,367510,0.0
78,2017-10-17,4.38,4.7,4.38,4.7,4.7,1213131,0.3200000000000003
79,2017-10-18,5.05,5.29,4.86,5.18,5.18,2406430,0.1299999999999999
80,2017-10-19,5.28,5.54,5.28,5.39,5.39,2113955,0.10999999999999943
81,2017-10-20,5.39,5.44,5.2,5.43,5.43,1099071,0.040000000000000036
82,2017-10-23,5.44,5.62,5.44,5.5,5.5,917243,0.05999999999999961
83,2017-10-24,5.53,5.59,5.33,5.44,5.44,986573,-0.08999999999999986
84,2017-10-25,5.45,5.5,5.43,5.45,5.45,441897,0.0
85,2017-10-26,5.45,5.45,5.18,5.37,5.37,530154,-0.08000000000000007
86,2017-10-27,5.4,5.55,5.355,5.37,5.37,545824,-0.03000000000000025
87,2017-10-30,5.45,5.48,5.15,5.3,5.3,740823,-0.15000000000000036
88,2017-10-31,5.3,5.3,5.09,5.2,5.2,610370,-0.09999999999999964
89,2017-11-01,5.22,5.3,5.1,5.17,5.17,993719,-0.04999999999999982
90,2017-11-02,5.2,5.27,5.135,5.15,5.15,802812,-0.04999999999999982
