,Date,Open,High,Low,Close,Adj Close,Volume,Diff
0,2009-01-02,28.823798999999998,29.311199,28.8039,29.0427,15.225495,2269780,0.21890100000000245
1,2009-01-05,29.341,29.360901000000002,28.3564,28.4459,14.912621,2908532,-0.8950999999999993
2,2009-01-06,28.992901,29.311199,28.7542,29.311199,15.366248,2564247,0.31829799999999864
3,2009-01-07,29.341,29.4007,28.7542,28.794001,15.095113000000001,3413899,-0.5469989999999996
4,2009-01-08,28.6945,28.6945,27.888901,28.406098999999998,14.891754999999998,3969963,-0.2884010000000039
5,2009-01-09,28.346398999999998,28.7045,28.2668,28.6448,15.016896,2304865,0.2984010000000019
6,2009-01-12,28.346398999999998,28.3962,27.948601,28.1674,14.766618,1909376,-0.17899899999999747
7,2009-01-13,27.998301,28.237,27.8491,28.237,14.803109,2775553,0.23869899999999689
8,2009-01-14,28.028098999999997,28.3862,28.0182,28.2668,14.818728,2523197,0.2387010000000025
9,2009-01-15,28.0082,28.0082,27.0037,27.1628,14.239964,4136219,-0.8453999999999979
10,2009-01-16,27.292101000000002,27.610398999999997,27.1429,27.2026,14.260829000000001,3491863,-0.08950100000000205
11,2009-01-19,27.351801000000002,27.6005,26.9937,27.2822,14.302557,2737730,-0.06960100000000224
12,2009-01-20,26.6556,26.7153,25.8997,26.208,13.739414000000002,6039430,-0.44760000000000133
13,2009-01-21,25.8599,25.8599,25.312901,25.472,13.353568,8217768,-0.38789999999999836
14,2009-01-22,26.337298999999998,26.357201,25.3029,25.462,13.348325,6241858,-0.8752989999999983
15,2009-01-23,25.2731,25.283001000000002,23.900499,23.9403,12.550582,7774169,-1.3327999999999989
16,2009-01-27,24.865299,24.865299,24.4774,24.606701,12.899941,5480326,-0.2585979999999992
17,2009-01-28,24.745898999999998,26.4069,24.6465,26.1682,13.718549,6128328,1.422301000000001
18,2009-01-29,26.944,27.033501,26.4865,26.754998999999998,14.026175,5171363,-0.18900100000000108
19,2009-01-30,26.357201,26.8048,25.84,26.754998999999998,14.026175,8680728,0.3977979999999981
20,2009-02-02,26.4368,26.7948,26.1682,26.307501000000002,13.791576000000001,2372232,-0.1292989999999996
21,2009-02-03,28.147499,29.112301000000002,28.038099,28.893499,15.147273,14856779,0.7459999999999987
22,2009-02-04,28.8437,29.191799,28.346398999999998,29.0228,15.215057999999999,4490420,0.1791000000000018
23,2009-02-05,28.744301,28.9233,28.1574,28.823798999999998,15.110733999999999,4423567,0.0794979999999974
24,2009-02-06,29.0327,29.559798999999998,28.943199,29.5399,15.486144,3589287,0.507200000000001
25,2009-02-09,30.3456,30.385401,29.7488,29.7787,15.611332999999998,3406728,-0.5669000000000004
26,2009-02-10,30.2362,30.2362,29.0924,29.4405,15.434035,4328257,-0.7957000000000001
27,2009-02-11,28.853701,29.898001,28.853701,29.758801000000002,15.600904000000002,4582259,0.9051000000000009
28,2009-02-12,29.987499,31.0219,29.9676,30.783199,16.137938000000002,6183780,0.7957000000000001
29,2009-02-13,30.823,31.230801,30.2959,31.230801,16.372593,4759076,0.4078009999999992
30,2009-02-16,29.8881,30.305799,29.191799,29.4604,16.024261,8502110,-0.4277000000000015
31,2009-02-17,29.3013,29.7985,28.7045,28.853701,15.694267000000002,5706868,-0.4475990000000003
32,2009-02-18,28.5453,29.002899,28.0779,29.002899,15.775414000000001,4798674,0.4575989999999983
33,2009-02-19,29.191799,29.788601,29.002899,29.6891,16.148657,2990905,0.4973010000000002
34,2009-02-20,29.4405,29.4902,29.0427,29.4107,15.997229,2855556,-0.029800000000001603
35,2009-02-23,29.142098999999998,29.738899,28.634899,29.420601,16.002613,3561485,0.27850200000000314
36,2009-02-24,28.684601,29.2813,28.5951,29.0924,15.824097,3360404,0.4077990000000007
37,2009-02-25,29.420601,29.5399,28.5254,28.973,15.759148999999999,3711940,-0.44760100000000236
38,2009-02-26,29.261499,29.788601,28.983,29.6394,16.121622,3794978,0.3779009999999978
39,2009-02-27,29.420601,29.719,29.0427,29.6394,16.121622,6610018,0.21879899999999708
40,2009-03-02,28.893499,28.992901,28.2171,28.3564,15.423767999999999,3623927,-0.5370989999999978
41,2009-03-03,27.500999,28.1376,26.8843,28.1376,15.304757,4236826,0.6366009999999989
42,2009-03-04,27.351801000000002,27.550698999999998,26.954,27.1231,14.752946,4840359,-0.22870100000000093
43,2009-03-05,27.103201000000002,27.441299,26.9142,27.182699,14.785364000000001,4324025,0.0794979999999974
44,2009-03-06,26.7351,27.013599,26.307501000000002,26.8545,14.606848999999999,4565952,0.1194000000000024
45,2009-03-09,26.7351,26.824699,26.2876,26.496401000000002,14.412066000000001,3913454,-0.23869899999999689
46,2009-03-10,26.705299,27.630301,26.6059,27.630301,15.028825,5547978,0.9250019999999992
47,2009-03-11,28.6448,28.7542,28.097799,28.455799,15.477835999999998,5567193,-0.18900100000000108
48,2009-03-12,28.5851,28.784,27.879,28.515499,15.510309,3376606,-0.06960100000000224
49,2009-03-13,29.0924,30.246098999999997,29.002899,30.087,16.365084,7591314,0.9945999999999984
50,2009-03-16,30.6639,31.290501000000003,30.415198999999998,30.833,16.770854999999997,8588372,0.1690999999999967
51,2009-03-17,31.181101,32.324902,31.011999,32.294998,17.566074,5260247,1.113896999999998
52,2009-03-18,33.3195,33.3195,32.424301,32.5238,17.690521,5730477,-0.7956999999999965
53,2009-03-19,33.090697999999996,33.816798999999996,32.623199,33.816798999999996,18.393818,14329553,0.7261009999999999
54,2009-03-20,33.4189,33.816798999999996,32.662997999999995,33.816798999999996,18.393818,5560276,0.39789899999999534
55,2009-03-23,33.3195,34.890999,33.090697999999996,34.890999,18.978107,5735661,1.5714990000000029
56,2009-03-24,36.591801000000004,36.6017,34.145,34.194697999999995,18.599367,6237771,-2.3971030000000084
57,2009-03-25,34.015701,35.7463,34.005798,35.189301,19.140356,5988109,1.1736000000000004
58,2009-03-26,35.6866,35.716499,34.413601,34.562698,18.799534,6880519,-1.123902000000001
59,2009-03-27,34.9109,35.308701,34.125099,34.811401000000004,18.934807,12337026,-0.09949899999999445
60,2009-03-30,34.592602,34.632401,34.194697999999995,34.513,18.772497,3300555,-0.07960200000000128
61,2009-03-31,34.463299,34.990398,34.194697999999995,34.5429,18.788764999999998,3906675,0.07960100000000381
62,2009-04-01,34.552799,34.751701000000004,34.065399,34.443401,18.73464,3250038,-0.10939799999999877
63,2009-04-02,34.9109,35.656799,34.5229,35.1595,19.124147,3609391,0.24860000000000326
64,2009-04-03,35.517601,35.8955,35.308701,35.8657,19.508264999999998,4137168,0.3480989999999977
65,2009-04-06,36.004902,36.651402000000004,35.408198999999996,36.621601,19.919420000000002,3326234,0.616698999999997
66,2009-04-07,36.253601,36.840401,36.1143,36.124297999999996,19.648928,5570423,-0.12930300000000727
67,2009-04-08,35.656799,35.776199,34.403599,34.682097999999996,18.864479,5173500,-0.9747010000000031
68,2009-04-09,35.060001,35.5574,34.771599,35.408198999999996,19.259418,2387628,0.34819799999999645
69,2009-04-14,36.780701,36.8503,36.362999,36.362999,19.778763,3333035,-0.41770199999999846
70,2009-04-15,36.303298999999996,36.5718,35.5872,36.064602,19.616453,4182651,-0.23869699999999483
71,2009-04-16,36.939899,37.019402,36.1143,36.561901,19.886948,2769896,-0.37799799999999806
72,2009-04-17,37.297901,37.665901,36.800598,36.800598,20.016788000000002,4225943,-0.49730300000000227
73,2009-04-20,37.297901,37.297901,36.024799,36.303298999999996,19.746292,3204673,-0.9946020000000075
74,2009-04-21,35.577202,35.905499,35.3186,35.6866,19.410856,2598666,0.10939799999999877
75,2009-04-22,35.905499,36.2934,35.736401,36.2934,19.740904,2276593,0.3879009999999994
76,2009-04-23,36.253601,36.790699,36.193901000000004,36.790699,20.0114,4999618,0.5370979999999932
77,2009-04-24,36.502201,36.770802,35.368401,35.766201,19.454148999999997,10308240,-0.7359999999999971
78,2009-04-27,35.905499,36.353001,34.5826,35.5574,19.340578,2929860,-0.3480989999999977
79,2009-04-28,35.000401000000004,35.945301,34.662201,35.288799,19.194475,4504218,0.2883979999999937
80,2009-04-29,34.811401000000004,35.2789,34.1549,34.324001,18.669697,4025346,-0.48740000000000094
81,2009-04-30,34.930801,35.139599,34.7318,34.920799,18.994312,3470005,-0.010002000000000066
82,2009-05-01,34.572701,35.0401,34.463299,34.861098999999996,18.961838,1713683,0.2883979999999937
83,2009-05-04,34.821301,36.402802,34.821301,36.402802,19.800415,2755212,1.581501000000003
84,2009-05-05,37.248199,37.248199,35.815899,36.024799,19.594804999999997,2951978,-1.223399999999998
85,2009-05-06,36.253601,36.452498999999996,35.308701,35.825901,19.486618,1999124,-0.4277000000000015
