Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,28.823799,29.311199,28.803900,29.042700,15.225495,2269780
2009-01-05,29.341000,29.360901,28.356400,28.445900,14.912621,2908532
2009-01-06,28.992901,29.311199,28.754200,29.311199,15.366248,2564247
2009-01-07,29.341000,29.400700,28.754200,28.794001,15.095113,3413899
2009-01-08,28.694500,28.694500,27.888901,28.406099,14.891755,3969963
2009-01-09,28.346399,28.704500,28.266800,28.644800,15.016896,2304865
2009-01-12,28.346399,28.396200,27.948601,28.167400,14.766618,1909376
2009-01-13,27.998301,28.237000,27.849100,28.237000,14.803109,2775553
2009-01-14,28.028099,28.386200,28.018200,28.266800,14.818728,2523197
2009-01-15,28.008200,28.008200,27.003700,27.162800,14.239964,4136219
2009-01-16,27.292101,27.610399,27.142900,27.202600,14.260829,3491863
2009-01-19,27.351801,27.600500,26.993700,27.282200,14.302557,2737730
2009-01-20,26.655600,26.715300,25.899700,26.208000,13.739414,6039430
2009-01-21,25.859900,25.859900,25.312901,25.472000,13.353568,8217768
2009-01-22,26.337299,26.357201,25.302900,25.462000,13.348325,6241858
2009-01-23,25.273100,25.283001,23.900499,23.940300,12.550582,7774169
2009-01-27,24.865299,24.865299,24.477400,24.606701,12.899941,5480326
2009-01-28,24.745899,26.406900,24.646500,26.168200,13.718549,6128328
2009-01-29,26.944000,27.033501,26.486500,26.754999,14.026175,5171363
2009-01-30,26.357201,26.804800,25.840000,26.754999,14.026175,8680728
2009-02-02,26.436800,26.794800,26.168200,26.307501,13.791576,2372232
2009-02-03,28.147499,29.112301,28.038099,28.893499,15.147273,14856779
2009-02-04,28.843700,29.191799,28.346399,29.022800,15.215058,4490420
2009-02-05,28.744301,28.923300,28.157400,28.823799,15.110734,4423567
2009-02-06,29.032700,29.559799,28.943199,29.539900,15.486144,3589287
2009-02-09,30.345600,30.385401,29.748800,29.778700,15.611333,3406728
2009-02-10,30.236200,30.236200,29.092400,29.440500,15.434035,4328257
2009-02-11,28.853701,29.898001,28.853701,29.758801,15.600904,4582259
2009-02-12,29.987499,31.021900,29.967600,30.783199,16.137938,6183780
2009-02-13,30.823000,31.230801,30.295900,31.230801,16.372593,4759076
2009-02-16,29.888100,30.305799,29.191799,29.460400,16.024261,8502110
2009-02-17,29.301300,29.798500,28.704500,28.853701,15.694267,5706868
2009-02-18,28.545300,29.002899,28.077900,29.002899,15.775414,4798674
2009-02-19,29.191799,29.788601,29.002899,29.689100,16.148657,2990905
2009-02-20,29.440500,29.490200,29.042700,29.410700,15.997229,2855556
2009-02-23,29.142099,29.738899,28.634899,29.420601,16.002613,3561485
2009-02-24,28.684601,29.281300,28.595100,29.092400,15.824097,3360404
2009-02-25,29.420601,29.539900,28.525400,28.973000,15.759149,3711940
2009-02-26,29.261499,29.788601,28.983000,29.639400,16.121622,3794978
2009-02-27,29.420601,29.719000,29.042700,29.639400,16.121622,6610018
2009-03-02,28.893499,28.992901,28.217100,28.356400,15.423768,3623927
2009-03-03,27.500999,28.137600,26.884300,28.137600,15.304757,4236826
2009-03-04,27.351801,27.550699,26.954000,27.123100,14.752946,4840359
2009-03-05,27.103201,27.441299,26.914200,27.182699,14.785364,4324025
2009-03-06,26.735100,27.013599,26.307501,26.854500,14.606849,4565952
2009-03-09,26.735100,26.824699,26.287600,26.496401,14.412066,3913454
2009-03-10,26.705299,27.630301,26.605900,27.630301,15.028825,5547978
2009-03-11,28.644800,28.754200,28.097799,28.455799,15.477836,5567193
2009-03-12,28.585100,28.784000,27.879000,28.515499,15.510309,3376606
2009-03-13,29.092400,30.246099,29.002899,30.087000,16.365084,7591314
2009-03-16,30.663900,31.290501,30.415199,30.833000,16.770855,8588372
2009-03-17,31.181101,32.324902,31.011999,32.294998,17.566074,5260247
2009-03-18,33.319500,33.319500,32.424301,32.523800,17.690521,5730477
2009-03-19,33.090698,33.816799,32.623199,33.816799,18.393818,14329553
2009-03-20,33.418900,33.816799,32.662998,33.816799,18.393818,5560276
2009-03-23,33.319500,34.890999,33.090698,34.890999,18.978107,5735661
2009-03-24,36.591801,36.601700,34.145000,34.194698,18.599367,6237771
2009-03-25,34.015701,35.746300,34.005798,35.189301,19.140356,5988109
2009-03-26,35.686600,35.716499,34.413601,34.562698,18.799534,6880519
2009-03-27,34.910900,35.308701,34.125099,34.811401,18.934807,12337026
2009-03-30,34.592602,34.632401,34.194698,34.513000,18.772497,3300555
2009-03-31,34.463299,34.990398,34.194698,34.542900,18.788765,3906675
2009-04-01,34.552799,34.751701,34.065399,34.443401,18.734640,3250038
2009-04-02,34.910900,35.656799,34.522900,35.159500,19.124147,3609391
2009-04-03,35.517601,35.895500,35.308701,35.865700,19.508265,4137168
2009-04-06,36.004902,36.651402,35.408199,36.621601,19.919420,3326234
2009-04-07,36.253601,36.840401,36.114300,36.124298,19.648928,5570423
2009-04-08,35.656799,35.776199,34.403599,34.682098,18.864479,5173500
2009-04-09,35.060001,35.557400,34.771599,35.408199,19.259418,2387628
